Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-28 00:00:00-05:00,131.0227890260271,134.29859412859594,130.55340791091808,133.66299438476562,124486200,0.0,0.0
2020-12-29 00:00:00-05:00,134.99291871746365,135.7165220448989,131.36506921587002,131.88333129882812,121047300,0.0,0.0
2020-12-30 00:00:00-05:00,132.57760019953898,132.97852438349952,130.44586825914976,130.7587890625,96452100,0.0,0.0
2020-12-31 00:00:00-05:00,131.11077397790459,131.756161729886,128.80303604244867,129.75155639648438,99116600,0.0,0.0
2021-01-04 00:00:00-05:00,130.56319677250616,130.6512001367724,123.95289523825686,126.5442123413086,143301900,0.0,0.0
2021-01-05 00:00:00-05:00,126.03573205393475,128.82262480989533,125.58591218267613,128.10877990722656,97664900,0.0,0.0
2021-01-06 00:00:00-05:00,124.89164039803205,128.14789930215,123.5813108332451,123.79644012451172,155088000,0.0,0.0
2021-01-07 00:00:00-05:00,125.51744598739764,128.7150354443587,125.02851857468899,128.020751953125,109578200,0.0,0.0
2021-01-08 00:00:00-05:00,129.4973683193827,129.69295131322693,127.34608967508404,129.12579345703125,105158200,0.0,0.0
2021-01-11 00:00:00-05:00,126.32911256081849,127.28740645534452,125.65439010211132,126.1237564086914,100384500,0.0,0.0
2021-01-12 00:00:00-05:00,125.65435630124593,126.8180060348787,124.05067484100692,125.94771575927734,91951100,0.0,0.0
2021-01-13 00:00:00-05:00,125.90857388238231,128.5390055815667,125.64456383946846,127.99140930175781,88636800,0.0,0.0
2021-01-14 00:00:00-05:00,127.90345103718111,128.0990190744919,125.90861826231031,126.05530548095703,90221800,0.0,0.0
2021-01-15 00:00:00-05:00,125.92815967578035,127.33627319568878,124.18757905280532,124.32447814941406,111598500,0.0,0.0
2021-01-19 00:00:00-05:00,124.95030318234187,125.85971603644006,124.1289086128148,124.99919891357422,90757300,0.0,0.0
2021-01-20 00:00:00-05:00,125.81081955583028,129.55600574850897,125.70325491611274,129.10618591308594,104319500,0.0,0.0
2021-01-21 00:00:00-05:00,130.83702736078203,136.5770325494069,130.63167120576338,133.8390350341797,120150900,0.0,0.0
2021-01-22 00:00:00-05:00,133.26208668957645,136.75303642382855,132.02999468266142,135.9903106689453,114459400,0.0,0.0
2021-01-25 00:00:00-05:00,139.9017531531502,141.8770099497923,133.5163448545916,139.75506591796875,157611700,0.0,0.0
2021-01-26 00:00:00-05:00,140.41998943906498,141.10448498155603,138.23936196107263,139.98973083496094,98390600,0.0,0.0
2021-01-27 00:00:00-05:00,140.25373432297877,141.10447831211278,137.30062299054427,138.91407775878906,140843800,0.0,0.0
2021-01-28 00:00:00-05:00,136.43033358916676,138.8456366294971,133.67277533095648,134.05413818359375,142621100,0.0,0.0
2021-01-29 00:00:00-05:00,132.82202855096995,133.71188006212958,127.3264889658359,129.03773498535156,177523800,0.0,0.0
2021-02-01 00:00:00-05:00,130.7881317015279,132.38204043638706,128.0305729028797,131.16949462890625,106239800,0.0,0.0
2021-02-02 00:00:00-05:00,132.72425930217142,133.29141701118044,131.62906644112428,132.0006561279297,83305400,0.0,0.0
2021-02-03 00:00:00-05:00,132.75356496632725,132.76335306388887,130.65118307208098,130.973876953125,89880900,0.0,0.0
2021-02-04 00:00:00-05:00,133.28163010930348,134.35726158111493,131.60949161173116,134.3474884033203,84183100,0.0,0.0
2021-02-05 00:00:00-05:00,134.50909763745554,134.57764200690855,133.04991099417794,133.93128967285156,75693800,0.205,0.0
